#        TEM  CP(ARMADA)   CP(JAMRT)        DIFF
     361.373      28.015      28.064      -0.049
     364.356      28.021      28.071      -0.050
     367.364      28.027      28.077      -0.050
     370.395      28.033      28.083      -0.050
     373.451      28.039      28.089      -0.051
     376.531      28.044      28.095      -0.051
     379.637      28.049      28.101      -0.052
     382.767      28.055      28.106      -0.052
     385.922      28.059      28.112      -0.052
     389.103      28.064      28.116      -0.052
     392.310      28.069      28.121      -0.053
     395.543      28.073      28.126      -0.053
     398.802      28.077      28.130      -0.053
     402.087      28.081      28.134      -0.054
     405.399      28.085      28.138      -0.054
     408.737      28.088      28.142      -0.054
     412.103      28.092      28.146      -0.054
     415.496      28.095      28.149      -0.054
     418.916      28.098      28.153      -0.054
     422.364      28.101      28.156      -0.055
     425.841      28.104      28.160      -0.055
     429.345      28.107      28.163      -0.055
     432.878      28.110      28.166      -0.056
     436.440      28.113      28.169      -0.056
     440.031      28.115      28.172      -0.057
     443.651      28.118      28.175      -0.057
     447.301      28.120      28.177      -0.057
     450.980      28.122      28.180      -0.058
     454.689      28.125      28.183      -0.058
     458.428      28.127      28.185      -0.059
     462.198      28.129      28.188      -0.059
     465.998      28.131      28.191      -0.060
     469.830      28.133      28.193      -0.060
     473.693      28.135      28.196      -0.061
     477.587      28.137      28.199      -0.062
     481.513      28.139      28.201      -0.062
     485.471      28.141      28.204      -0.063
     489.461      28.142      28.207      -0.064
     493.483      28.144      28.209      -0.065
     497.539      28.146      28.212      -0.066
     501.627      28.148      28.215      -0.067
     505.749      28.150      28.218      -0.068
     509.905      28.152      28.221      -0.069
     514.094      28.154      28.223      -0.070
     518.318      28.156      28.226      -0.071
     522.575      28.158      28.230      -0.072
     526.868      28.160      28.233      -0.073
     531.195      28.162      28.236      -0.074
     535.558      28.164      28.239      -0.076
     539.956      28.166      28.243      -0.077
     544.390      28.168      28.246      -0.078
     548.860      28.170      28.250      -0.079
     553.367      28.173      28.253      -0.081
     557.910      28.175      28.257      -0.082
     562.490      28.178      28.261      -0.084
     567.107      28.180      28.265      -0.085
     571.761      28.183      28.270      -0.087
     576.453      28.186      28.274      -0.088
     581.184      28.189      28.278      -0.090
     585.952      28.192      28.283      -0.091
     590.759      28.195      28.288      -0.093
     595.606      28.198      28.292      -0.094
     600.491      28.202      28.297      -0.096
     605.415      28.205      28.303      -0.097
     610.380      28.209      28.308      -0.099
     615.384      28.213      28.313      -0.101
     620.429      28.217      28.319      -0.102
     625.514      28.221      28.325      -0.104
     630.641      28.226      28.331      -0.105
     635.808      28.230      28.337      -0.107
     641.017      28.235      28.343      -0.109
     646.268      28.240      28.350      -0.110
     651.561      28.245      28.357      -0.112
     656.896      28.250      28.364      -0.113
     662.273      28.256      28.371      -0.115
     667.694      28.262      28.378      -0.117
     673.158      28.268      28.386      -0.118
     678.666      28.274      28.393      -0.120
     684.217      28.280      28.401      -0.121
     689.812      28.287      28.410      -0.122
     695.452      28.294      28.418      -0.124
     701.136      28.301      28.427      -0.125
     706.866      28.309      28.435      -0.127
     712.640      28.317      28.445      -0.128
     718.460      28.325      28.454      -0.129
     724.326      28.333      28.463      -0.131
     730.238      28.341      28.473      -0.132
     736.197      28.350      28.483      -0.133
     742.202      28.360      28.494      -0.134
     748.254      28.369      28.504      -0.135
     754.354      28.379      28.515      -0.136
     760.501      28.389      28.526      -0.137
     766.696      28.399      28.537      -0.138
     772.939      28.410      28.549      -0.139
     779.230      28.421      28.561      -0.140
     785.570      28.433      28.573      -0.141
     791.959      28.444      28.586      -0.141
     798.398      28.456      28.599      -0.142
     804.885      28.469      28.612      -0.143
     811.423      28.482      28.625      -0.143
     818.011      28.495      28.639      -0.144
     824.649      28.509      28.653      -0.144
     831.337      28.523      28.667      -0.145
     838.077      28.537      28.682      -0.145
     844.868      28.552      28.697      -0.146
     851.710      28.567      28.713      -0.146
     858.604      28.582      28.728      -0.146
     865.550      28.598      28.744      -0.146
     872.548      28.614      28.761      -0.146
     879.598      28.631      28.778      -0.146
     886.702      28.648      28.795      -0.147
     893.858      28.666      28.812      -0.146
     901.068      28.684      28.830      -0.146
     908.331      28.702      28.848      -0.146
     915.648      28.721      28.867      -0.146
     923.019      28.740      28.886      -0.146
     930.444      28.760      28.905      -0.145
     937.924      28.780      28.925      -0.145
     945.459      28.800      28.945      -0.145
     953.048      28.821      28.966      -0.144
     960.693      28.843      28.987      -0.144
     968.394      28.865      29.008      -0.143
     976.150      28.887      29.030      -0.142
     983.962      28.910      29.052      -0.142
     991.830      28.933      29.074      -0.141
     999.755      28.957      29.097      -0.140
    1007.740      28.983      29.120      -0.138
    1015.770      29.007      29.144      -0.138
    1023.870      29.031      29.168      -0.137
    1032.020      29.056      29.193      -0.136
    1040.230      29.082      29.218      -0.136
    1048.500      29.108      29.243      -0.135
    1056.830      29.135      29.269      -0.134
    1065.210      29.162      29.295      -0.133
    1073.660      29.190      29.322      -0.132
    1082.160      29.218      29.349      -0.130
    1090.720      29.247      29.376      -0.129
    1099.340      29.276      29.404      -0.127
    1108.020      29.306      29.432      -0.126
    1116.760      29.336      29.461      -0.124
    1125.560      29.367      29.489      -0.122
    1134.410      29.398      29.519      -0.121
    1143.330      29.430      29.549      -0.119
    1152.310      29.461      29.579      -0.117
    1161.360      29.494      29.610      -0.116
    1170.460      29.527      29.641      -0.114
    1179.620      29.560      29.672      -0.112
    1188.840      29.593      29.704      -0.110
    1198.130      29.627      29.736      -0.109
    1207.480      29.662      29.768      -0.107
    1216.880      29.696      29.801      -0.105
    1226.360      29.731      29.835      -0.103
    1235.890      29.767      29.868      -0.102
    1245.480      29.802      29.902      -0.100
    1255.140      29.838      29.937      -0.098
    1264.860      29.875      29.971      -0.096
    1274.650      29.911      30.006      -0.095
    1284.480      29.948      30.041      -0.093
    1294.400      29.986      30.077      -0.092
    1304.380      30.023      30.113      -0.090
    1314.420      30.061      30.149      -0.088
    1324.530      30.099      30.186      -0.087
    1334.700      30.138      30.223      -0.085
    1344.930      30.176      30.260      -0.084
    1355.230      30.215      30.298      -0.082
    1365.600      30.254      30.335      -0.081
    1376.030      30.294      30.373      -0.080
    1386.520      30.333      30.412      -0.078
    1397.090      30.373      30.450      -0.077
    1407.720      30.413      30.489      -0.075
