# TEM     PRE          CP           Z
 2278.63  9.78769e+09  3.32008e+08  1.58322
 2278.53  9.78591e+09  3.32005e+08  1.58316
 2278.43  9.78414e+09  3.32003e+08  1.58309
 2278.34  9.78237e+09  3.32001e+08  1.58303
 2278.24  9.78059e+09  3.31998e+08  1.58297
 2278.14  9.77882e+09  3.31996e+08  1.5829
 2278.05  9.77705e+09  3.31994e+08  1.58284
 2277.95  9.77527e+09  3.31991e+08  1.58278
 2277.85  9.7735e+09  3.31989e+08  1.58271
 2277.75  9.77173e+09  3.31987e+08  1.58265
 2277.66  9.76996e+09  3.31984e+08  1.58259
 2277.56  9.76819e+09  3.31982e+08  1.58252
 2277.46  9.76641e+09  3.3198e+08  1.58246
 2277.37  9.76464e+09  3.31977e+08  1.58239
 2277.27  9.76287e+09  3.31975e+08  1.58233
 2277.17  9.7611e+09  3.31973e+08  1.58227
 2277.07  9.75933e+09  3.3197e+08  1.5822
 2276.98  9.75756e+09  3.31968e+08  1.58214
 2276.88  9.75579e+09  3.31966e+08  1.58208
 2276.78  9.75402e+09  3.31963e+08  1.58201
 2276.69  9.75225e+09  3.31961e+08  1.58195
 2276.59  9.75048e+09  3.31958e+08  1.58189
 2276.49  9.74871e+09  3.31956e+08  1.58182
 2276.39  9.74694e+09  3.31954e+08  1.58176
 2276.3  9.74517e+09  3.31951e+08  1.5817
 2276.2  9.7434e+09  3.31949e+08  1.58163
 2276.1  9.74163e+09  3.31947e+08  1.58157
 2276.01  9.73986e+09  3.31944e+08  1.58151
 2275.91  9.73809e+09  3.31942e+08  1.58144
 2275.81  9.73632e+09  3.3194e+08  1.58138
 2275.71  9.73455e+09  3.31937e+08  1.58132
 2275.62  9.73278e+09  3.31935e+08  1.58125
 2275.52  9.73102e+09  3.31933e+08  1.58119
 2275.42  9.72925e+09  3.3193e+08  1.58113
 2275.32  9.72748e+09  3.31928e+08  1.58106
 2275.23  9.72571e+09  3.31926e+08  1.581
 2275.13  9.72395e+09  3.31923e+08  1.58094
 2275.03  9.72218e+09  3.31921e+08  1.58088
 2274.94  9.72041e+09  3.31919e+08  1.58081
 2274.84  9.71864e+09  3.31916e+08  1.58075
 2274.74  9.71688e+09  3.31914e+08  1.58069
 2274.64  9.71511e+09  3.31912e+08  1.58062
 2274.55  9.71334e+09  3.31909e+08  1.58056
 2274.45  9.71158e+09  3.31907e+08  1.5805
 2274.35  9.70981e+09  3.31905e+08  1.58043
 2274.25  9.70805e+09  3.31902e+08  1.58037
 2274.16  9.70628e+09  3.319e+08  1.58031
 2274.06  9.70451e+09  3.31898e+08  1.58024
 2273.96  9.70275e+09  3.31895e+08  1.58018
 2273.87  9.70098e+09  3.31893e+08  1.58012
 2273.77  9.69922e+09  3.31891e+08  1.58005
 2273.67  9.69745e+09  3.31888e+08  1.57999
 2273.57  9.69569e+09  3.31886e+08  1.57993
 2273.48  9.69392e+09  3.31884e+08  1.57986
 2273.38  9.69216e+09  3.31881e+08  1.5798
 2273.28  9.6904e+09  3.31879e+08  1.57974
 2273.18  9.68863e+09  3.31877e+08  1.57967
 2273.09  9.68687e+09  3.31874e+08  1.57961
 2272.99  9.6851e+09  3.31872e+08  1.57955
 2272.89  9.68334e+09  3.31869e+08  1.57948
 2272.79  9.68158e+09  3.31867e+08  1.57942
 2272.7  9.67981e+09  3.31865e+08  1.57936
 2272.6  9.67805e+09  3.31862e+08  1.57929
 2272.5  9.67629e+09  3.3186e+08  1.57923
 2272.4  9.67452e+09  3.31858e+08  1.57917
 2272.31  9.67276e+09  3.31855e+08  1.5791
 2272.21  9.671e+09  3.31853e+08  1.57904
 2272.11  9.66924e+09  3.3185e+08  1.57897
 2272.02  9.66748e+09  3.31848e+08  1.57891
 2271.92  9.66571e+09  3.31846e+08  1.57885
 2271.82  9.66395e+09  3.31843e+08  1.57878
 2271.72  9.66219e+09  3.31841e+08  1.57872
 2271.63  9.66043e+09  3.31839e+08  1.57866
 2271.53  9.65867e+09  3.31836e+08  1.57859
 2271.43  9.65691e+09  3.31834e+08  1.57853
 2271.33  9.65515e+09  3.31831e+08  1.57847
 2271.24  9.65339e+09  3.31829e+08  1.5784
 2271.14  9.65163e+09  3.31827e+08  1.57834
 2271.04  9.64987e+09  3.31824e+08  1.57828
 2270.94  9.64811e+09  3.31822e+08  1.57821
 2270.85  9.64635e+09  3.31819e+08  1.57815
 2270.75  9.64459e+09  3.31817e+08  1.57809
 2270.65  9.64283e+09  3.31815e+08  1.57802
 2270.55  9.64107e+09  3.31812e+08  1.57796
 2270.46  9.63931e+09  3.3181e+08  1.57789
 2270.36  9.63755e+09  3.31808e+08  1.57783
 2270.26  9.63579e+09  3.31805e+08  1.57777
 2270.16  9.63403e+09  3.31803e+08  1.5777
 2270.07  9.63227e+09  3.318e+08  1.57764
 2269.97  9.63052e+09  3.31798e+08  1.57758
 2269.87  9.62876e+09  3.31796e+08  1.57751
 2269.77  9.627e+09  3.31793e+08  1.57745
 2269.68  9.62524e+09  3.31791e+08  1.57739
 2269.58  9.62348e+09  3.31789e+08  1.57732
 2269.48  9.62173e+09  3.31786e+08  1.57726
 2269.38  9.61997e+09  3.31784e+08  1.5772
 2269.29  9.61821e+09  3.31781e+08  1.57713
 2269.19  9.61646e+09  3.31779e+08  1.57707
 2269.09  9.6147e+09  3.31777e+08  1.57701
 2268.99  9.61294e+09  3.31774e+08  1.57694
 2268.9  9.61119e+09  3.31772e+08  1.57688
 2268.8  9.60943e+09  3.3177e+08  1.57682
 2268.7  9.60767e+09  3.31767e+08  1.57675
 2268.6  9.60592e+09  3.31765e+08  1.57669
 2268.5  9.60416e+09  3.31762e+08  1.57663
 2268.41  9.60241e+09  3.3176e+08  1.57656
 2268.31  9.60065e+09  3.31758e+08  1.5765
 2268.21  9.5989e+09  3.31755e+08  1.57644
 2268.11  9.59714e+09  3.31753e+08  1.57637
 2268.02  9.59539e+09  3.31751e+08  1.57631
