# Atmospheric vertical profile: 800 17
 IDX       PRE       TEM       TED       DRY         NH3         H2O         H2S      NH3(l)      NH3(s)      H2O(l)      H2O(s)    NH4SH(s)   ENTROPY       CPT     THETA    THETAV
  42   3683.42   1810.56   1810.56   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.8572    2095.6   2049.37
  43   3632.75   1804.03   1804.03   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.8354    2095.6   2049.37
  44   3582.77   1797.51   1797.51   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.8136    2095.6   2049.37
  45   3533.48   1791.01   1791.01   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.7919    2095.6   2049.37
  46   3484.87   1784.53   1784.53   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.7701    2095.6   2049.37
  47   3436.93   1778.07   1778.07   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.7483    2095.6   2049.37
  48   3389.65   1771.63   1771.63   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.7265    2095.6   2049.37
  49   3343.02   1765.21   1765.21   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.7047    2095.6   2049.37
  50   3297.03   1758.81   1758.81   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.6829    2095.6   2049.37
  51   3251.67   1752.43   1752.43   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.6612    2095.6   2049.37
  52   3206.93   1746.06   1746.06   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.6394    2095.6   2049.37
  53   3162.82   1739.71   1739.71   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.6177    2095.6   2049.37
  54   3119.31   1733.39   1733.39   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.5959    2095.6   2049.37
  55   3076.39   1727.08   1727.08   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.5742    2095.6   2049.37
  56   3034.07   1720.79   1720.79   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.5525    2095.6   2049.37
  57   2992.33   1714.51   1714.51   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.5307    2095.6   2049.37
  58   2951.16   1708.26   1708.26   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603    31.509    2095.6   2049.37
  59   2910.56   1702.03   1702.03   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.4873    2095.6   2049.37
  60   2870.52   1695.81   1695.81   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.4657    2095.6   2049.37
  61   2831.03   1689.61   1689.61   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603    31.444    2095.6   2049.37
  62   2792.09   1683.43   1683.43   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.4223    2095.6   2049.37
  63   2753.67   1677.27   1677.27   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.4007    2095.6   2049.37
  64   2715.79   1671.13   1671.13   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.3791    2095.6   2049.37
  65   2678.43      1665      1665   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.3575    2095.6   2049.37
  66   2641.58    1658.9    1658.9   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.3359    2095.6   2049.37
  67   2605.24   1652.81   1652.81   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.3143    2095.6   2049.37
  68    2569.4   1646.74   1646.74   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.2927    2095.6   2049.37
  69   2534.05   1640.68   1640.68   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.2712    2095.6   2049.37
  70   2499.19   1634.65   1634.65   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.2497    2095.6   2049.37
  71   2464.81   1628.63   1628.63   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.2282    2095.6   2049.37
  72    2430.9   1622.64   1622.64   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.2067    2095.6   2049.37
  73   2397.46   1616.66   1616.66   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.1852    2095.6   2049.37
  74   2364.48   1610.69   1610.69   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.1638    2095.6   2049.37
  75   2331.95   1604.75   1604.75   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.1424    2095.6   2049.37
  76   2299.87   1598.82   1598.82   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603    31.121    2095.6   2049.37
  77   2268.23   1592.91   1592.91   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.0996    2095.6   2049.37
  78   2237.02   1587.02   1587.02   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.0783    2095.6   2049.37
  79   2206.25   1581.15   1581.15   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.0569    2095.6   2049.37
  80    2175.9   1575.29   1575.29   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.0356    2095.6   2049.37
  81   2145.96   1569.45   1569.45   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   31.0144    2095.6   2049.37
  82   2116.44   1563.63   1563.63   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.9931    2095.6   2049.37
  83   2087.32   1557.83   1557.83   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.9719    2095.6   2049.37
  84   2058.61   1552.04   1552.04   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.9508    2095.6   2049.37
  85   2030.29   1546.27   1546.27   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.9296    2095.6   2049.37
  86   2002.36   1540.52   1540.52   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.9085    2095.6   2049.37
  87   1974.81   1534.79   1534.79   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.8874    2095.6   2049.37
  88   1947.64   1529.07   1529.07   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.8663    2095.6   2049.37
  89   1920.85   1523.37   1523.37   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.8453    2095.6   2049.37
  90   1894.42   1517.71   1517.71   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.8244    2095.6   2049.37
  91   1868.36   1512.05   1512.05   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.8035    2095.6   2049.37
  92   1842.66    1506.4    1506.4   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.7826    2095.6   2049.37
  93   1817.31   1500.78   1500.78   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.7617    2095.6   2049.37
  94   1792.31   1495.17   1495.17   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.7409    2095.6   2049.37
  95   1767.65   1489.57   1489.57   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.7201    2095.6   2049.37
  96   1743.33      1484      1484   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.6993    2095.6   2049.37
  97   1719.35   1478.44   1478.44   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.6786    2095.6   2049.37
